"","tucaseid","region","state","sex","age","edu","race","hispanic","country_born","citizen","marital","home_type","famincome","tuyear","diary_mo","diary_day","holiday","occup_code","ind_code","labor_status","student_status","ptft","work_class","hourly_wage","weekly_earn","work_hrs_week","mult_jobs","partner_hh","partner_works","partner_ptft","hh_size","hh_child","hh_child_youngest_age","wt","sleeping","housework","telephone","volunteer","playing_sports","religious_activities","eating","shopping","research_homework","class","working","HHchildcare","HHadultcare","attending_socials","tiercode","dur"
"1",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,10101,505
"2",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,10201,75
"3",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,10401,15
"4",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,20201,105
"5",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,20203,30
"6",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,20501,130
"7",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,70101,30
"8",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,110101,105
"9",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,120303,135
"10",20160101161873,"west","HI","female",76,"associate degree","Asian only","no","non-US","yes","widowed","own","35000-39999",2016,1,30,"no",NA,NA,"not_in_labor_force",NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,1,"no",NA,2049628.811465,505,NA,NA,NA,45,60,105,30,NA,NA,NA,NA,NA,NA,120312,60
